nodeAddress,timestamp,dataPoint
63166,2023-04-06 21:34:24.006750000,0
63166,2023-04-06 21:34:24.506750000,0
63166,2023-04-06 21:37:11.006750000,0
63166,2023-04-06 21:37:11.506750000,0
63166,2023-04-06 21:42:27.006750000,0
63166,2023-04-06 21:42:27.506750000,0
63166,2023-04-06 21:42:38.006750000,0
63166,2023-04-06 21:42:38.506750000,0
63166,2023-04-06 21:42:39.006750000,0
63166,2023-04-06 21:42:39.506750000,0
63166,2023-04-06 21:42:40.006750000,0
63166,2023-04-06 21:42:40.506750000,0
